ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes
506,Tropical Smoothie Cafe,Restaurants / Food Service Chains,Fast Casual,Atlanta,GA,10000,$500M-$1B,Inventory AI,$10K-$25K,Chief Technology Officer,www.tropicalsmoothiecafe.com,4,1400+ locations
507,Torchys Tacos,Restaurants / Food Service Chains,Fast Casual,Austin,TX,5000,$200M-$500M,Customer feedback AI,$8K-$20K,Director of Technology,www.torchystacos.com,3,100+ locations; Texas-based
508,Velvet Taco,Restaurants / Food Service Chains,Fast Casual,Dallas,TX,2000,$50M-$100M,Staff scheduling AI,$5K-$15K,VP of Operations,www.velvettaco.com,2,40+ locations
509,The Original Pancake House,Restaurants / Food Service Chains,Breakfast,Portland,OR,3000,$100M-$200M,Customer feedback AI,$5K-$15K,Director of Operations,www.originalpancakehouse.com,3,100+ franchised locations
510,Potbelly Sandwich,Restaurants / Food Service Chains,Fast Casual,Chicago,IL,5000,$200M-$500M,Inventory management AI,$8K-$20K,CTO,www.potbelly.com,3,400+ locations; NASDAQ
511,McAlisters Deli,Restaurants / Food Service Chains,Fast Casual,Sandy Springs,GA,10000,$500M-$1B,Staff scheduling AI,$10K-$20K,VP of Technology,www.mcalistersdeli.com,3,500+ locations
512,Naf Naf Middle Eastern Grill,Restaurants / Food Service Chains,Fast Casual,Chicago,IL,500,$25M-$50M,Inventory AI,$5K-$12K,Director of Operations,www.nafnafgrill.com,2,40+ locations
513,Freebirds World Burrito,Restaurants / Food Service Chains,Fast Casual,Austin,TX,1000,$25M-$50M,Customer engagement AI,$5K-$12K,VP of Operations,www.freebirds.com,2,60+ locations; Texas
514,Cousins Subs,Restaurants / Food Service Chains,Sandwich Chain,Menomonee Falls,WI,2000,$50M-$100M,Inventory management AI,$5K-$15K,Director of IT,www.cousinssubs.com,2,90+ locations
515,Eggs Up Grill,Restaurants / Food Service Chains,Breakfast,Spartanburg,SC,1500,$25M-$50M,Staff scheduling AI,$5K-$12K,VP of Operations,www.eggsupgrill.com,2,60+ locations; Southeast
516,Clean Juice,Restaurants / Food Service Chains,Juice Bar,Charlotte,NC,800,$10M-$25M,Inventory AI,$5K-$10K,Director of Operations,www.cleanjuice.com,2,100+ franchise locations
517,Swig,Restaurants / Food Service Chains,Drink Shop,St. George,UT,500,$10M-$25M,Customer engagement AI,$5K-$10K,Director of Technology,www.swigdrinks.com,2,Dirty soda trend; 50+ locations
518,Eureka! Restaurant Group,Restaurants / Food Service Chains,Full Service,Hawthorne,CA,2000,$50M-$100M,Staff scheduling AI,$8K-$15K,Director of IT,www.eurekarestaurantgroup.com,3,30 locations; upscale casual
519,North Italia,Restaurants / Food Service Chains,Full Service,Scottsdale,AZ,3000,$100M-$200M,Customer feedback AI,$8K-$20K,VP of Technology,www.northitalia.com,3,30+ locations; upscale Italian
520,True Food Kitchen,Restaurants / Food Service Chains,Full Service,Phoenix,AZ,3000,$100M-$200M,Inventory management AI,$8K-$20K,Director of Technology,www.truefoodkitchen.com,3,45+ locations; health-focused
521,Lithia Motors,Auto Dealerships,Multi-Brand Dealer,Medford,OR,18000,$10B+,Lead follow-up AI,$30K-$50K,Chief Digital Officer,www.lithia.com,5,#1 US auto retailer; NYSE
522,AutoNation,Auto Dealerships,Multi-Brand Dealer,Fort Lauderdale,FL,21000,$10B+,Inventory management AI,$30K-$50K,Chief Technology Officer,www.autonation.com,5,#2 US dealer; NYSE
523,Penske Automotive Group,Auto Dealerships,Multi-Brand Dealer,Bloomfield Hills,MI,27000,$10B+,Service scheduling AI,$30K-$50K,CTO,www.penskeautomotive.com,5,#3 US dealer; NYSE
524,Group 1 Automotive,Auto Dealerships,Multi-Brand Dealer,Houston,TX,15000,$10B+,Lead follow-up AI,$25K-$50K,VP of Digital,www.group1auto.com,5,#4 US dealer; NYSE
525,Asbury Automotive Group,Auto Dealerships,Multi-Brand Dealer,Duluth,GA,12000,$10B+,Customer engagement AI,$25K-$50K,Chief Technology Officer,www.asburyauto.com,5,#5 US dealer; NYSE
526,Sonic Automotive,Auto Dealerships,Multi-Brand Dealer,Charlotte,NC,10000,$10B+,Inventory AI,$25K-$50K,CTO,www.sonicautomotive.com,5,NYSE; EchoPark brand
527,Hendrick Automotive,Auto Dealerships,Multi-Brand Dealer,Charlotte,NC,10000,$10B+,Lead follow-up AI,$25K-$50K,VP of Technology,www.hendrickauto.com,5,Largest private dealer group
528,Larry H. Miller Dealerships,Auto Dealerships,Multi-Brand Dealer,Sandy,UT,8000,$5B+,Service scheduling AI,$20K-$40K,Director of Digital,www.lhm.com,4,60+ dealerships
529,Ken Garff Automotive,Auto Dealerships,Multi-Brand Dealer,Salt Lake City,UT,6000,$5B+,Customer engagement AI,$20K-$40K,VP of Technology,www.kengarff.com,4,50+ locations
530,Holman Enterprises,Auto Dealerships,Multi-Brand Dealer,Mount Laurel,NJ,6000,$5B+,Lead follow-up AI,$20K-$40K,Chief Technology Officer,www.holmanenterprises.com,4,Acquired Leith Automotive
531,Parks Automotive Group,Auto Dealerships,Multi-Brand Dealer,Kannapolis,NC,2000,$1B+,Inventory management AI,$10K-$25K,Director of IT,www.parksautogroup.com,3,Southeast dealer group
532,Sewell Automotive,Auto Dealerships,Luxury Dealer,Dallas,TX,2500,$1B+,Customer engagement AI,$15K-$25K,VP of Technology,www.sewell.com,4,Luxury brand focus
533,JM Family Enterprises,Auto Dealerships,Distributor/Dealer,Deerfield Beach,FL,4500,$10B+,Service scheduling AI,$25K-$50K,CTO,www.jmfamily.com,5,Southeast Toyota distributor
534,Fields Auto Group,Auto Dealerships,Multi-Brand Dealer,Lakeland,FL,1500,$1B+,Lead follow-up AI,$10K-$20K,Director of Digital,www.fieldsauto.com,3,Florida dealer group
535,Morgan Auto Group,Auto Dealerships,Multi-Brand Dealer,Tampa,FL,2000,$1B+,Inventory management AI,$10K-$25K,VP of Technology,www.maborgs.com,3,Tampa area dealer group
536,Greenway Automotive,Auto Dealerships,Multi-Brand Dealer,Orlando,FL,1500,$500M-$1B,Customer engagement AI,$8K-$20K,Director of IT,www.greenway.com,3,Southeast dealer group
537,Serra Automotive,Auto Dealerships,Multi-Brand Dealer,Fenton,MI,1200,$500M-$1B,Lead follow-up AI,$8K-$20K,VP of Technology,www.serraautomotive.com,3,Midwest dealer group
538,Bert Ogden Auto Group,Auto Dealerships,Multi-Brand Dealer,McAllen,TX,2000,$1B+,Service scheduling AI,$10K-$25K,Director of Digital,www.bertogden.com,3,South Texas dealer group
539,Carvana,Auto Dealerships,Online Dealer,Tempe,AZ,13000,$10B+,AI pricing engine,$25K-$50K,Chief Technology Officer,www.carvana.com,5,NYSE; online used car leader
540,CarMax,Auto Dealerships,Used Car Dealer,Richmond,VA,27000,$10B+,Inventory AI,$30K-$50K,CTO,www.carmax.com,5,Fortune 500; 240+ stores
541,Vroom,Auto Dealerships,Online Dealer,Houston,TX,1500,$1B+,AI vehicle appraisal,$10K-$25K,Chief Technology Officer,www.vroom.com,3,NASDAQ; online auto retail
542,AutoTrader / Cox Automotive,Auto Dealerships,Auto Platform,Atlanta,GA,27000,$5B+,AI lead scoring,$30K-$50K,VP of AI,www.coxautoinc.com,5,Auto marketplace + DMS platform
543,CDK Global,Auto Dealerships,Auto Tech,Austin,TX,9000,$1B+,Dealer management AI,$20K-$40K,Chief Technology Officer,www.cdkglobal.com,4,DMS provider for dealerships
544,Vaughan Automotive,Auto Dealerships,Multi-Brand Dealer,Boerne,TX,800,$200M-$500M,Lead follow-up AI,$8K-$15K,Director of IT,www.vaughanauto.com,3,New to Top 150 list
545,Jeff Wyler Automotive Family,Auto Dealerships,Multi-Brand Dealer,Cincinnati,OH,1500,$1B+,Service scheduling AI,$10K-$20K,VP of Technology,www.jeffwyler.com,3,Ohio/Kentucky dealer group
546,David Wilson Automotive Group,Auto Dealerships,Multi-Brand Dealer,Newport Beach,CA,1000,$500M-$1B,Customer engagement AI,$8K-$20K,Director of Digital,www.davidwilsonautomotive.com,3,Southern CA dealer group
547,Scoggin-Dickey,Auto Dealerships,Multi-Brand Dealer,Lubbock,TX,500,$200M-$500M,Lead follow-up AI,$5K-$15K,Director of IT,www.scoggindickey.com,2,West Texas dealer
548,Performance Automotive,Auto Dealerships,Multi-Brand Dealer,Chapel Hill,NC,800,$200M-$500M,Inventory management AI,$8K-$15K,VP of Technology,www.performanceautogroup.com,3,NC dealer group
549,Priority Automotive,Auto Dealerships,Multi-Brand Dealer,Virginia Beach,VA,1500,$500M-$1B,Service scheduling AI,$8K-$20K,Director of IT,www.priorityauto.com,3,Virginia dealer group
550,Napleton Automotive Group,Auto Dealerships,Multi-Brand Dealer,Lake Park,FL,2000,$1B+,Lead follow-up AI,$10K-$25K,VP of Digital,www.napletonautomotive.com,3,Multi-state dealer group
551,Flow Automotive,Auto Dealerships,Multi-Brand Dealer,Winston-Salem,NC,1500,$500M-$1B,Customer engagement AI,$8K-$20K,Director of Technology,www.flowcompanies.com,3,NC dealer group
552,Bical Auto Mall,Auto Dealerships,Multi-Brand Dealer,Brooklyn,NY,300,$100M-$200M,Lead follow-up AI,$5K-$15K,General Manager,www.bical.com,2,NYC area dealer
553,Ganley Automotive Group,Auto Dealerships,Multi-Brand Dealer,Cleveland,OH,1500,$500M-$1B,Service scheduling AI,$8K-$20K,VP of Technology,www.ganley.com,3,Ohio dealer group
554,Germain Motor Company,Auto Dealerships,Multi-Brand Dealer,Columbus,OH,1000,$500M-$1B,Inventory management AI,$8K-$20K,Director of IT,www.germain.com,3,Ohio dealer group
555,Galpin Motors,Auto Dealerships,Multi-Brand Dealer,North Hills,CA,800,$200M-$500M,Customer engagement AI,$8K-$15K,VP of Technology,www.galpin.com,3,LA iconic dealer
556,Bergstrom Automotive,Auto Dealerships,Multi-Brand Dealer,Appleton,WI,1000,$500M-$1B,Lead follow-up AI,$8K-$20K,Director of Digital,www.bergstromauto.com,3,Wisconsin dealer group
557,John Eagle Dealerships,Auto Dealerships,Multi-Brand Dealer,Dallas,TX,1200,$500M-$1B,Service scheduling AI,$8K-$20K,VP of Technology,www.johneagle.com,3,Texas dealer group
558,Shottenkirk Automotive,Auto Dealerships,Multi-Brand Dealer,Fort Madison,IA,800,$200M-$500M,Inventory management AI,$5K-$15K,Director of IT,www.shottenkirk.com,2,Midwest dealer group
559,Love Field Chrysler Dodge,Auto Dealerships,Single Brand,Dallas,TX,200,$50M-$100M,Lead follow-up AI,$5K-$12K,General Manager,www.lovefieldchrysler.com,2,Single location; high volume
560,Rick Hendrick City Chevrolet,Auto Dealerships,Single Brand,Charlotte,NC,300,$100M-$200M,Service scheduling AI,$5K-$15K,General Manager,www.citychevrolet.com,2,Hendrick subsidiary; high volume
561,Service Champions,"Home Services (HVAC, Plumbing, Roofing)",HVAC/Plumbing,Pleasanton,CA,2000,$200M-$500M,Dispatch AI,$10K-$25K,Chief Operating Officer,www.servicechampions.net,4,Champions Group; 20+ locations
562,Hoffmann Brothers,"Home Services (HVAC, Plumbing, Roofing)",HVAC/Plumbing,St. Louis,MO,400,$50M-$100M,Lead qualification AI,$8K-$20K,Director of Operations,www.hoffmannbros.com,3,40+ years; 10K+ 5-star reviews
563,Peterman Brothers,"Home Services (HVAC, Plumbing, Roofing)",HVAC/Plumbing,Indianapolis,IN,500,$50M-$100M,Dispatch AI,$8K-$20K,VP of Operations,www.petermanhvac.com,3,Fastest growing in Indiana
564,Roto-Rooter,"Home Services (HVAC, Plumbing, Roofing)",Plumbing/Drain,Cincinnati,OH,5000,$500M-$1B,Dispatch AI,$15K-$30K,Chief Technology Officer,www.rotorooter.com,5,498 locations; 90% US coverage
565,Mr. Rooter Plumbing,"Home Services (HVAC, Plumbing, Roofing)",Plumbing,Waco,TX,3000,$200M-$500M,Lead qualification AI,$10K-$25K,VP of Technology,www.mrrooter.com,4,Neighborly brand; 215 US franchises
566,One Hour Heating & Air,"Home Services (HVAC, Plumbing, Roofing)",HVAC,Columbia,MD,2500,$200M-$500M,Estimate automation AI,$10K-$25K,Director of Technology,www.onehourheatandair.com,4,Authority Brands franchise
567,Benjamin Franklin Plumbing,"Home Services (HVAC, Plumbing, Roofing)",Plumbing,Columbia,MD,2000,$100M-$200M,Dispatch AI,$8K-$20K,VP of Operations,www.benjaminfranklinplumbing.com,3,Authority Brands franchise
568,1-800-Plumber +Air,"Home Services (HVAC, Plumbing, Roofing)",HVAC/Plumbing,Houston,TX,500,$25M-$50M,Lead qualification AI,$5K-$15K,Director of Operations,www.1800plumber.com,3,Combined HVAC/plumbing franchise
569,Bluefrog Plumbing + Drain,"Home Services (HVAC, Plumbing, Roofing)",Plumbing,Phoenix,AZ,300,$10M-$25M,Dispatch AI,$5K-$12K,VP of Franchise,www.bluefrogplumbing.com,2,Emergency plumbing focus
570,Comfort Systems USA,"Home Services (HVAC, Plumbing, Roofing)",HVAC Commercial,Houston,TX,15000,$1B+,Predictive maintenance AI,$25K-$50K,Chief Technology Officer,www.comfortsystemsusa.com,5,NYSE listed; mechanical services
571,EMCOR Group,"Home Services (HVAC, Plumbing, Roofing)",HVAC/Mechanical,Norwalk,CT,40000,$10B+,Building automation AI,$30K-$50K,VP of Innovation,www.emcorgroup.com,5,Fortune 500; largest US HVAC
572,Trane Technologies,"Home Services (HVAC, Plumbing, Roofing)",HVAC Manufacturing,Davidson,NC,40000,$10B+,Predictive maintenance AI,$30K-$50K,Chief Technology Officer,www.tranetechnologies.com,5,NYSE listed; $16B revenue
573,Carrier Global,"Home Services (HVAC, Plumbing, Roofing)",HVAC Manufacturing,Palm Beach Gardens,FL,53000,$10B+,Smart building AI,$30K-$50K,CTO,www.corporate.carrier.com,5,NYSE listed; $22B revenue
574,ARS/Rescue Rooter,"Home Services (HVAC, Plumbing, Roofing)",HVAC/Plumbing,Memphis,TN,7000,$1B+,Dispatch AI,$15K-$30K,VP of Technology,www.ars.com,4,American Residential Services; 65+ locations
575,Service Experts,"Home Services (HVAC, Plumbing, Roofing)",HVAC,Richardson,TX,5000,$500M-$1B,Lead qualification AI,$10K-$25K,Director of Technology,www.serviceexperts.com,4,130+ locations nationwide
576,Neighborly,"Home Services (HVAC, Plumbing, Roofing)",Multi-Brand Home,Waco,TX,5000,$1B+,Cross-sell AI,$20K-$40K,Chief Technology Officer,www.neighborly.com,5,30+ home service brands
577,ABC Supply,"Home Services (HVAC, Plumbing, Roofing)",Roofing Distribution,Beloit,WI,15000,$10B+,Inventory management AI,$25K-$50K,VP of Innovation,www.abcsupply.com,5,Largest US roofing distributor
578,CentiMark Corporation,"Home Services (HVAC, Plumbing, Roofing)",Roofing,Canonsburg,PA,4000,$500M-$1B,Estimate automation AI,$10K-$25K,Director of Technology,www.centimark.com,4,Largest US roofing contractor
579,Baker Roofing,"Home Services (HVAC, Plumbing, Roofing)",Roofing,Raleigh,NC,1500,$200M-$500M,Dispatch AI,$8K-$20K,VP of Operations,www.bakerroofing.com,3,100+ years; Southeast
580,Tecta America,"Home Services (HVAC, Plumbing, Roofing)",Roofing,Rosemont,IL,3000,$500M-$1B,Estimate automation AI,$10K-$25K,Chief Technology Officer,www.tectaamerica.com,4,Largest commercial roofer
581,Nations Roof,"Home Services (HVAC, Plumbing, Roofing)",Roofing,Fairfield,OH,1000,$100M-$200M,Dispatch AI,$8K-$15K,Director of IT,www.nationsroof.com,3,National commercial roofer
582,Ace Hardware Home Services,"Home Services (HVAC, Plumbing, Roofing)",Multi-Home Service,Oak Brook,IL,3000,$200M-$500M,Lead qualification AI,$10K-$25K,VP of Technology,www.acehardware.com,4,Plumbing/HVAC/electrical
583,Wrench Group,"Home Services (HVAC, Plumbing, Roofing)",HVAC/Plumbing,Atlanta,GA,3500,$500M-$1B,Dispatch AI,$10K-$25K,Chief Technology Officer,www.wrenchgroup.com,4,Multi-brand home services
584,Horizon Services,"Home Services (HVAC, Plumbing, Roofing)",HVAC/Plumbing,Wilmington,DE,1500,$100M-$200M,Lead qualification AI,$8K-$20K,Director of Technology,www.horizonservices.com,3,Mid-Atlantic service leader
585,Morris-Jenkins,"Home Services (HVAC, Plumbing, Roofing)",HVAC,Charlotte,NC,500,$50M-$100M,Estimate automation AI,$5K-$15K,Director of Operations,www.morrisjenkins.com,3,Charlotte HVAC leader
586,Aire Serv,"Home Services (HVAC, Plumbing, Roofing)",HVAC,Waco,TX,1500,$50M-$100M,Dispatch AI,$5K-$15K,VP of Franchise,www.aireserv.com,3,Neighborly brand
587,Coolray,"Home Services (HVAC, Plumbing, Roofing)",HVAC,Marietta,GA,400,$50M-$100M,Lead qualification AI,$5K-$15K,Director of Operations,www.coolray.com,3,Wrench Group brand; Atlanta
588,Michael & Son Services,"Home Services (HVAC, Plumbing, Roofing)",Multi-Home Service,Alexandria,VA,800,$100M-$200M,Dispatch AI,$8K-$20K,VP of Technology,www.michaelandson.com,3,DC metro area leader
589,Hiller Plumbing,"Home Services (HVAC, Plumbing, Roofing)",Plumbing/HVAC,Nashville,TN,600,$50M-$100M,Lead qualification AI,$5K-$15K,Director of Operations,www.happyhiller.com,3,Tennessee leader
590,Bonney Plumbing,"Home Services (HVAC, Plumbing, Roofing)",Plumbing/HVAC,Sacramento,CA,300,$25M-$50M,Estimate automation AI,$5K-$12K,VP of Operations,www.bonney.com,2,Sacramento area leader
591,Lee Company,"Home Services (HVAC, Plumbing, Roofing)",HVAC/Mechanical,Franklin,TN,1800,$200M-$500M,Predictive maintenance AI,$10K-$25K,Director of Technology,www.leecompany.com,3,Tennessee multi-service
592,Isaac Heating & Air,"Home Services (HVAC, Plumbing, Roofing)",HVAC,Rochester,NY,500,$50M-$100M,Dispatch AI,$5K-$15K,Director of Operations,www.isaacheating.com,3,NY state HVAC leader
593,Ideal Services,"Home Services (HVAC, Plumbing, Roofing)",HVAC/Plumbing,Las Vegas,NV,200,$10M-$25M,Lead qualification AI,$5K-$12K,Owner,www.idealservices.com,2,Las Vegas home services
594,Schneller Knochelmann,"Home Services (HVAC, Plumbing, Roofing)",Plumbing/HVAC,Cincinnati,OH,200,$10M-$25M,Dispatch AI,$5K-$12K,Director of Operations,www.skplumbing.com,2,Cincinnati area leader
595,Goodberlet Home Services,"Home Services (HVAC, Plumbing, Roofing)",HVAC,Joliet,IL,100,$5M-$10M,Estimate automation AI,$5K-$10K,Owner,www.goodberlet.com,2,Chicago suburbs
596,Long Roofing,"Home Services (HVAC, Plumbing, Roofing)",Roofing,Laurel,MD,500,$50M-$100M,Lead qualification AI,$5K-$15K,Director of Marketing,www.longroofing.com,3,East Coast roofing leader
597,Power Home Remodeling,"Home Services (HVAC, Plumbing, Roofing)",Roofing/Windows,Chester,PA,3000,$500M-$1B,Lead qualification AI,$10K-$25K,VP of Technology,www.powerhome.com,4,Largest exterior remodeler
598,Leaf Home Solutions,"Home Services (HVAC, Plumbing, Roofing)",Gutters/Home,Hudson,OH,5000,$500M-$1B,Dispatch AI,$10K-$25K,Chief Technology Officer,www.leafhome.com,4,LeafFilter parent; 150+ offices
599,Groundworks,"Home Services (HVAC, Plumbing, Roofing)",Foundation Repair,Virginia Beach,VA,5000,$500M-$1B,Lead qualification AI,$10K-$25K,VP of Technology,www.groundworks.com,4,30+ brands; PE-backed
600,Mr. Electric,"Home Services (HVAC, Plumbing, Roofing)",Electrical,Waco,TX,1500,$50M-$100M,Dispatch AI,$5K-$15K,VP of Franchise,www.mrelectric.com,3,Neighborly brand
601,HubSpot,SaaS / Software Companies,CRM/Marketing,Cambridge,MA,7000,$1B+,Customer onboarding AI,$25K-$50K,Chief Product Officer,www.hubspot.com,5,NYSE listed; CRM leader
602,Salesforce,SaaS / Software Companies,CRM,San Francisco,CA,73000,$10B+,Churn prediction AI,$30K-$50K,Chief AI Officer,www.salesforce.com,5,CRM market leader; Einstein AI
603,Datadog,SaaS / Software Companies,Monitoring,New York,NY,5000,$1B+,Support automation AI,$20K-$40K,CTO,www.datadoghq.com,5,NASDAQ listed; observability
604,Monday.com,SaaS / Software Companies,Work Management,New York,NY,2000,$500M-$1B,Workflow automation AI,$15K-$30K,Chief Technology Officer,www.monday.com,4,NASDAQ listed
605,Notion,SaaS / Software Companies,Productivity,San Francisco,CA,500,$200M-$500M,Customer onboarding AI,$10K-$25K,CTO,www.notion.so,4,AI-enhanced workspace
606,ClickUp,SaaS / Software Companies,Project Management,San Diego,CA,1000,$200M-$500M,Support automation AI,$10K-$25K,VP of Engineering,www.clickup.com,4,All-in-one productivity
607,Miro,SaaS / Software Companies,Visual Collaboration,San Francisco,CA,1800,$200M-$500M,Customer onboarding AI,$10K-$25K,Chief Technology Officer,www.miro.com,4,Digital whiteboard
608,Deel,SaaS / Software Companies,HR/Payroll,San Francisco,CA,4000,$500M-$1B,Compliance automation AI,$15K-$30K,CTO,www.deel.com,4,Global payroll/HR platform
609,Rippling,SaaS / Software Companies,HR Tech,San Francisco,CA,3000,$500M-$1B,Employee onboarding AI,$15K-$30K,Chief Technology Officer,www.rippling.com,5,Unified workforce platform
610,CrowdStrike,SaaS / Software Companies,Cybersecurity,Austin,TX,8000,$1B+,Threat detection AI,$25K-$50K,CTO,www.crowdstrike.com,5,NASDAQ; $3B+ revenue
611,Palantir Technologies,SaaS / Software Companies,Data Analytics,Denver,CO,3500,$1B+,Data analysis AI,$30K-$50K,Chief Technology Officer,www.palantir.com,5,NYSE listed; government + commercial
612,Snowflake,SaaS / Software Companies,Data Cloud,Bozeman,MT,6000,$1B+,Data pipeline AI,$25K-$50K,CTO,www.snowflake.com,5,NYSE listed; cloud data
613,Twilio,SaaS / Software Companies,Communications API,San Francisco,CA,6000,$1B+,Customer engagement AI,$20K-$40K,Chief Product Officer,www.twilio.com,4,NYSE listed; CPaaS leader
614,Amplitude,SaaS / Software Companies,Product Analytics,San Francisco,CA,700,$200M-$500M,Churn prediction AI,$10K-$25K,CTO,www.amplitude.com,4,NASDAQ listed; digital analytics
615,Calendly,SaaS / Software Companies,Scheduling,Atlanta,GA,700,$200M-$500M,Customer onboarding AI,$10K-$20K,Chief Technology Officer,www.calendly.com,3,Scheduling automation leader
616,Motive,SaaS / Software Companies,Fleet/Operations,San Francisco,CA,3000,$500M-$1B,Fleet analytics AI,$15K-$30K,CTO,www.gomotive.com,4,120K+ customers
617,Gusto,SaaS / Software Companies,HR/Payroll,San Francisco,CA,2500,$200M-$500M,Employee onboarding AI,$10K-$25K,Chief Technology Officer,www.gusto.com,4,SMB payroll/HR platform
618,Brex,SaaS / Software Companies,Finance/Spend,San Francisco,CA,1100,$200M-$500M,Expense automation AI,$10K-$25K,CTO,www.brex.com,4,Corporate card/spend management
619,Figma,SaaS / Software Companies,Design,San Francisco,CA,1500,$500M-$1B,Design collaboration AI,$15K-$25K,Chief Technology Officer,www.figma.com,4,Collaborative design platform
620,Airtable,SaaS / Software Companies,Low-Code/Database,San Francisco,CA,900,$200M-$500M,Workflow AI,$10K-$20K,CTO,www.airtable.com,3,No-code database platform
621,Canva,SaaS / Software Companies,Design Platform,San Francisco,CA,5000,$1B+,Content generation AI,$15K-$30K,Chief Technology Officer,www.canva.com,5,Visual communication platform
622,Webflow,SaaS / Software Companies,Website Builder,San Francisco,CA,800,$100M-$200M,Customer onboarding AI,$8K-$20K,CTO,www.webflow.com,3,Visual website builder
623,Loom,SaaS / Software Companies,Video Messaging,San Francisco,CA,200,$50M-$100M,Support automation AI,$5K-$15K,Chief Technology Officer,www.loom.com,3,Atlassian subsidiary
624,Linear,SaaS / Software Companies,Project Management,San Francisco,CA,100,$25M-$50M,Issue triage AI,$5K-$15K,CTO,www.linear.app,3,Developer-focused PM
625,Vercel,SaaS / Software Companies,Frontend Platform,San Francisco,CA,500,$100M-$200M,Support automation AI,$8K-$20K,Chief Technology Officer,www.vercel.com,4,Next.js/frontend platform
626,Supabase,SaaS / Software Companies,Backend Platform,San Francisco,CA,200,$25M-$50M,Developer onboarding AI,$5K-$15K,CTO,www.supabase.com,3,Open-source Firebase alternative
627,Retool,SaaS / Software Companies,Internal Tools,San Francisco,CA,400,$100M-$200M,Workflow automation AI,$8K-$20K,Chief Technology Officer,www.retool.com,3,Internal tool builder
628,Postman,SaaS / Software Companies,API Platform,San Francisco,CA,900,$200M-$500M,API testing AI,$10K-$20K,CTO,www.postman.com,4,30M+ developers
629,Freshworks,SaaS / Software Companies,CRM/Support,San Mateo,CA,5500,$500M-$1B,Support automation AI,$15K-$30K,Chief Technology Officer,www.freshworks.com,4,NASDAQ listed; SMB focus
630,Zendesk,SaaS / Software Companies,Customer Support,San Francisco,CA,6000,$1B+,Support automation AI,$20K-$40K,CTO,www.zendesk.com,5,Customer experience platform
631,Intercom,SaaS / Software Companies,Customer Messaging,San Francisco,CA,700,$200M-$500M,Chatbot AI,$10K-$25K,Chief Technology Officer,www.intercom.com,4,Fin AI chatbot
632,Gong,SaaS / Software Companies,Revenue Intelligence,San Francisco,CA,1200,$200M-$500M,Sales coaching AI,$15K-$30K,CTO,www.gong.io,4,Revenue intelligence platform
633,Clari,SaaS / Software Companies,Revenue Operations,Sunnyvale,CA,700,$100M-$200M,Revenue prediction AI,$10K-$25K,Chief Technology Officer,www.clari.com,3,RevOps platform
634,Drift (Salesloft),SaaS / Software Companies,Conversational Sales,Boston,MA,500,$100M-$200M,Chatbot AI,$8K-$20K,CTO,www.salesloft.com,3,Now part of Salesloft
635,Outreach,SaaS / Software Companies,Sales Engagement,Seattle,WA,1000,$200M-$500M,Sales automation AI,$10K-$25K,Chief Technology Officer,www.outreach.io,4,Sales engagement leader
636,6sense,SaaS / Software Companies,ABM Platform,San Francisco,CA,1200,$200M-$500M,Intent prediction AI,$10K-$25K,CTO,www.6sense.com,4,Account-based marketing AI
637,ZoomInfo,SaaS / Software Companies,Sales Intelligence,Vancouver,WA,3500,$1B+,Lead scoring AI,$15K-$30K,Chief Technology Officer,www.zoominfo.com,5,NASDAQ listed; data platform
638,Terminus,SaaS / Software Companies,ABM,Atlanta,GA,300,$25M-$50M,Customer engagement AI,$5K-$15K,CTO,www.terminus.com,3,Account-based marketing
639,Drata,SaaS / Software Companies,Compliance,San Diego,CA,500,$100M-$200M,Compliance automation AI,$10K-$20K,Chief Technology Officer,www.drata.com,4,Compliance automation platform
640,Statsig,SaaS / Software Companies,Experimentation,Bellevue,WA,200,$50M-$100M,A/B testing AI,$8K-$15K,CTO,www.statsig.com,3,$6B valuation; fastest growing
641,Coursera,Education / EdTech,Online Learning,Mountain View,CA,1500,$500M-$1B,Student engagement AI,$15K-$30K,Chief Technology Officer,www.coursera.org,4,NYSE listed; 183M learners
642,Duolingo,Education / EdTech,Language Learning,Pittsburgh,PA,900,$500M-$1B,Enrollment optimization AI,$15K-$30K,CTO,www.duolingo.com,4,NASDAQ listed; 120M+ MAU
643,Instructure (Canvas),Education / EdTech,LMS,Salt Lake City,UT,2000,$500M-$1B,Grading automation AI,$15K-$30K,Chief Product Officer,www.instructure.com,4,3000+ institutions; Canvas LMS
644,Khan Academy,Education / EdTech,Online Learning,Mountain View,CA,300,$50M-$100M,Student engagement AI,$8K-$15K,CTO,www.khanacademy.org,3,Free education; Khanmigo AI
645,Chegg,Education / EdTech,Study Help,Santa Clara,CA,1500,$500M-$1B,AI tutoring,$10K-$25K,Chief Technology Officer,www.chegg.com,4,NYSE listed; student support
646,Outschool,Education / EdTech,K-12 Online,San Francisco,CA,300,$50M-$100M,Scheduling AI,$5K-$15K,CTO,www.outschool.com,3,Ages 3-18; live online classes
647,Teachers Pay Teachers,Education / EdTech,Marketplace,New York,NY,200,$25M-$50M,Content recommendation AI,$5K-$15K,VP of Product,www.teacherspayteachers.com,3,Teacher marketplace
