ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes,Contact_Email,Alt_Emails,Contact_Phone,Alt_Phones,Email_Source,DM_Name,DM_Professional_Email,DM_Email_Patterns,DM_LinkedIn_Search,LinkedIn_Company,LinkedIn_People_Found,Twitter,Facebook,Instagram,YouTube,Name_Source,DM_Google_Search
622,Webflow,SaaS / Software Companies,Website Builder,San Francisco,CA,800,$100M-$200M,Customer onboarding AI,$8K-$20K,CTO,www.webflow.com,3,Visual website builder,info@webflow.com,contact@webflow.com,(491) 580-6179,(223) 171-8910; (057) 032-1570,pattern,,,[first].[last]@webflow.com; [f][last]@webflow.com; [first]@webflow.com; [first][last]@webflow.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Webflow%22,https://www.linkedin.com/company/webflow-inc-,https://www.linkedin.com/in/bryantchou; https://www.linkedin.com/in/sergiemagdalin; https://www.linkedin.com/in/vladmagdalin,https://twitter.com/webflow,https://www.facebook.com/webflow,https://www.instagram.com/webflow,,,https://www.google.com/search?q=Webflow+%22CTO%22+site%3Alinkedin.com%2Fin
623,Loom,SaaS / Software Companies,Video Messaging,San Francisco,CA,200,$50M-$100M,Support automation AI,$5K-$15K,Chief Technology Officer,www.loom.com,3,Atlassian subsidiary,info@loom.com,contact@loom.com,(125) 591-2400,(105) 479-8648; (852) 366-8331,pattern,,,[first].[last]@loom.com; [f][last]@loom.com; [first]@loom.com; [first][last]@loom.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Loom%22,https://www.linkedin.com/company/useloom/,,https://twitter.com/loom,https://www.facebook.com/useloom,,https://www.youtube.com/channel/UCnqj2rfVX8V0t377WcOjYoA,,https://www.google.com/search?q=Loom+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
624,Linear,SaaS / Software Companies,Project Management,San Francisco,CA,100,$25M-$50M,Issue triage AI,$5K-$15K,CTO,www.linear.app,3,Developer-focused PM,hello@linear.app,,(680) 406-1483,(564) 540-1335; (974) 344-3051,scraped,,,[first].[last]@linear.app; [f][last]@linear.app; [first]@linear.app; [first][last]@linear.app,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Linear%22,,https://www.linkedin.com/in/liam-oconnor/; https://www.linkedin.com/in/adrien-griveau-2397b8126/; https://www.linkedin.com/in/allison-wei-012327b0/,https://x.com/linear,,,https://www.youtube.com/@linear,,https://www.google.com/search?q=Linear+%22CTO%22+site%3Alinkedin.com%2Fin
625,Vercel,SaaS / Software Companies,Frontend Platform,San Francisco,CA,500,$100M-$200M,Support automation AI,$8K-$20K,Chief Technology Officer,www.vercel.com,4,Next.js/frontend platform,info@vercel.com,contact@vercel.com,(966) 415-4901,(650) 395-2809,pattern,,,[first].[last]@vercel.com; [f][last]@vercel.com; [first]@vercel.com; [first][last]@vercel.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Vercel%22,https://linkedin.com/company/vercel,,https://x.com/vercel,,,https://youtube.com/@VercelHQ,,https://www.google.com/search?q=Vercel+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
626,Supabase,SaaS / Software Companies,Backend Platform,San Francisco,CA,200,$25M-$50M,Developer onboarding AI,$5K-$15K,CTO,www.supabase.com,3,Open-source Firebase alternative,help-events@supabase.com,legal@supabase.io; privacy@supabase.io; abuse@supabase.io,(799) 766-1110,(356) 857-2614; (979) 157-8756,scraped,,,[first].[last]@supabase.com; [f][last]@supabase.com; [first]@supabase.com; [first][last]@supabase.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Supabase%22,,,https://twitter.com/nerdburn/,,,https://youtube.com/c/supabase,,https://www.google.com/search?q=Supabase+%22CTO%22+site%3Alinkedin.com%2Fin
627,Retool,SaaS / Software Companies,Internal Tools,San Francisco,CA,400,$100M-$200M,Workflow automation AI,$8K-$20K,Chief Technology Officer,www.retool.com,3,Internal tool builder,support@retool.com,,(154) 672-0521,(687) 781-1025; (679) 480-7564,scraped,,,[first].[last]@retool.com; [f][last]@retool.com; [first]@retool.com; [first][last]@retool.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Retool%22,https://www.linkedin.com/company/tryretool/,,https://x.com/retool,,,https://www.youtube.com/@Retool,,https://www.google.com/search?q=Retool+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
628,Postman,SaaS / Software Companies,API Platform,San Francisco,CA,900,$200M-$500M,API testing AI,$10K-$20K,CTO,www.postman.com,4,30M+ developers,info@postman.com,info-jp@postman.com; u003einfo@postman.com; u003einfo-jp@postman.com,(967) 668-9144,(402) 119-5695,pattern,,,[first].[last]@postman.com; [f][last]@postman.com; [first]@postman.com; [first][last]@postman.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Postman%22,https://www.linkedin.com/company/postman-platform,,https://x.com/getpostman,https://www.facebook.com/tr,https://www.instagram.com/getpostman,,,https://www.google.com/search?q=Postman+%22CTO%22+site%3Alinkedin.com%2Fin
629,Freshworks,SaaS / Software Companies,CRM/Support,San Mateo,CA,5500,$500M-$1B,Support automation AI,$15K-$30K,Chief Technology Officer,www.freshworks.com,4,NASDAQ listed; SMB focus,support@freshworks.com,sales@freshworks.com; careers@freshworks.com,(855) 747-6767,(209) 765-0421; (555) 555-5555,scraped,,,[first].[last]@freshworks.com; [f][last]@freshworks.com; [first]@freshworks.com; [first][last]@freshworks.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Freshworks%22,https://www.linkedin.com/company/freshworks-inc/,https://www.linkedin.com/in/muraliswaminathan/; https://www.linkedin.com/in/ian-tickle-5a463a2/; https://www.linkedin.com/in/johannajackman/,https://x.com/FreshworksInc,https://www.facebook.com/FreshworksInc,,https://www.youtube.com/c/FreshworksInc,,https://www.google.com/search?q=Freshworks+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
630,Zendesk,SaaS / Software Companies,Customer Support,San Francisco,CA,6000,$1B+,Support automation AI,$20K-$40K,CTO,www.zendesk.com,5,Customer experience platform,ask.philippines@zendesk.com,ask.thailand@zendesk.com; ask.indonesia@zendesk.com; ask.malaysia@zendesk.com,(333) 794-3919,(446) 310-5633; (421) 356-2373,scraped,,,[first].[last]@zendesk.com; [f][last]@zendesk.com; [first]@zendesk.com; [first][last]@zendesk.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Zendesk%22,https://www.linkedin.com/company/zendesk,,https://www.twitter.com/zendesk,https://www.facebook.com/zendesk/,https://www.instagram.com/zendesk,,,https://www.google.com/search?q=Zendesk+%22CTO%22+site%3Alinkedin.com%2Fin
631,Intercom,SaaS / Software Companies,Customer Messaging,San Francisco,CA,700,$200M-$500M,Chatbot AI,$10K-$25K,Chief Technology Officer,www.intercom.com,4,Fin AI chatbot,press@intercom.com,u003eexample@yourdomain.com,(147) 673-1162,(805) 026-8173; (794) 121-4295,scraped,,,[first].[last]@intercom.com; [f][last]@intercom.com; [first]@intercom.com; [first][last]@intercom.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Intercom%22,https://www.linkedin.com/company/intercom/,,https://x.com/intercom,https://www.facebook.com/intercominc/,https://www.instagram.com/intercom/,https://www.youtube.com/channel/UCJG0MvLP03kyzzAkD-w98aQ,,https://www.google.com/search?q=Intercom+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
632,Gong,SaaS / Software Companies,Revenue Intelligence,San Francisco,CA,1200,$200M-$500M,Sales coaching AI,$15K-$30K,CTO,www.gong.io,4,Revenue intelligence platform,sales@gong.io,,(501) 339-0132,(072) 939-1954; (222) 217-0418,scraped,,,[first].[last]@gong.io; [f][last]@gong.io; [first]@gong.io; [first][last]@gong.io,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Gong%22,https://www.linkedin.com/company/gong-io/,https://www.linkedin.com/in/stacey-justice-772809/; https://www.linkedin.com/in/emilyhe1/; https://www.linkedin.com/in/amitbendov/,https://x.com/gong_io,https://www.facebook.com/To.GongIO/,https://www.instagram.com/gong.io/,https://www.youtube.com/c/Gongio,,https://www.google.com/search?q=Gong+%22CTO%22+site%3Alinkedin.com%2Fin
633,Clari,SaaS / Software Companies,Revenue Operations,Sunnyvale,CA,700,$100M-$200M,Revenue prediction AI,$10K-$25K,Chief Technology Officer,www.clari.com,3,RevOps platform,sales@clari.com,hello@clari.com,(143) 918-7164,(285) 102-2456; (228) 415-0856,scraped,,,[first].[last]@clari.com; [f][last]@clari.com; [first]@clari.com; [first][last]@clari.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Clari%22,https://www.linkedin.com/company/clari,,,,,https://www.youtube.com/@Clarihq,,https://www.google.com/search?q=Clari+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
634,Drift (Salesloft),SaaS / Software Companies,Conversational Sales,Boston,MA,500,$100M-$200M,Chatbot AI,$8K-$20K,CTO,www.salesloft.com,3,Now part of Salesloft,info@salesloft.com,contact@salesloft.com,(437) 085-6825,(770) 756-8022; (924) 737-5408,pattern,,,[first].[last]@salesloft.com; [f][last]@salesloft.com; [first]@salesloft.com; [first][last]@salesloft.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Drift+%28Salesloft%29%22,https://www.linkedin.com/company/salesloft,https://www.linkedin.com/in/edward-jay-wedge-39287014/; https://www.linkedin.com/in/ericrosenbower/; https://www.linkedin.com/in/mrkevinyao/,https://www.twitter.com/salesloft,https://www.facebook.com/Salesloft,https://www.instagram.com/salesloft/,,,https://www.google.com/search?q=Drift+%28Salesloft%29+%22CTO%22+site%3Alinkedin.com%2Fin
635,Outreach,SaaS / Software Companies,Sales Engagement,Seattle,WA,1000,$200M-$500M,Sales automation AI,$10K-$25K,Chief Technology Officer,www.outreach.io,4,Sales engagement leader,hr@outreach.io,pr@outreach.io; security@outreach.io; u003ehr@outreach.io,(333) 433-1220,(389) 168-0803; (175) 261-5558,scraped,,,[first].[last]@outreach.io; [f][last]@outreach.io; [first]@outreach.io; [first][last]@outreach.io,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Outreach%22,https://www.linkedin.com/company/outreach-saas/,,https://twitter.com/outreach_io,https://www.facebook.com/Outreach.io/,,,,https://www.google.com/search?q=Outreach+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
636,6sense,SaaS / Software Companies,ABM Platform,San Francisco,CA,1200,$200M-$500M,Intent prediction AI,$10K-$25K,CTO,www.6sense.com,4,Account-based marketing AI,info@6sense.com,contact@6sense.com,(177) 240-3687,(208) 566-2554; (759) 338-6808,pattern,,,[first].[last]@6sense.com; [f][last]@6sense.com; [first]@6sense.com; [first][last]@6sense.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%226sense%22,https://www.linkedin.com/company/6sense/,,,,,https://www.youtube.com/c/6sense,,https://www.google.com/search?q=6sense+%22CTO%22+site%3Alinkedin.com%2Fin
637,ZoomInfo,SaaS / Software Companies,Sales Intelligence,Vancouver,WA,3500,$1B+,Lead scoring AI,$15K-$30K,Chief Technology Officer,www.zoominfo.com,5,NASDAQ listed; data platform,info@zoominfo.com,contact@zoominfo.com,(249) 705-1668,(866) 904-9666; (866) 904-9666,pattern,,,[first].[last]@zoominfo.com; [f][last]@zoominfo.com; [first]@zoominfo.com; [first][last]@zoominfo.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22ZoomInfo%22,https://www.linkedin.com/company/zoominfo/,https://www.linkedin.com/in/chadaherring/; https://www.linkedin.com/in/jennifercreticos/; https://www.linkedin.com/in/filip-popovic-090a88a7/,https://x.com/zoominfo,https://www.facebook.com/ZoomInformation/,https://www.instagram.com/zoominfo/,https://www.youtube.com/c/zoominformation,,https://www.google.com/search?q=ZoomInfo+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
638,Terminus,SaaS / Software Companies,ABM,Atlanta,GA,300,$25M-$50M,Customer engagement AI,$5K-$15K,CTO,www.terminus.com,3,Account-based marketing,info@terminus.com,contact@terminus.com,(177) 220-0843,(177) 029-3096; (333) 333-3333,pattern,,,[first].[last]@terminus.com; [f][last]@terminus.com; [first]@terminus.com; [first][last]@terminus.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Terminus%22,https://www.linkedin.com/company/demandscience-com,,https://twitter.com/demandscience,https://www.facebook.com/DemandScience/,,,,https://www.google.com/search?q=Terminus+%22CTO%22+site%3Alinkedin.com%2Fin
639,Drata,SaaS / Software Companies,Compliance,San Diego,CA,500,$100M-$200M,Compliance automation AI,$10K-$20K,Chief Technology Officer,www.drata.com,4,Compliance automation platform,getstarted@drata.com,media@drata.com; support@drata.com; partnerships@drata.com,(749) 743-1755,(749) 672-1957; (749) 672-2848,scraped,,,[first].[last]@drata.com; [f][last]@drata.com; [first]@drata.com; [first][last]@drata.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Drata%22,https://www.linkedin.com/company/drata/,https://www.linkedin.com/in/troymarkowitz; https://www.linkedin.com/in/markowitzadam; https://www.linkedin.com/in/danielzev,https://twitter.com/dratahq,,,https://www.youtube.com/channel/UCL7xTQRHuxO3M5dHHOjhfMA,,https://www.google.com/search?q=Drata+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
640,Statsig,SaaS / Software Companies,Experimentation,Bellevue,WA,200,$50M-$100M,A/B testing AI,$8K-$15K,CTO,www.statsig.com,3,$6B valuation; fastest growing,info@statsig.com,contact@statsig.com,(225) 178-9325,(229) 274-2624; (221) 046-1263,pattern,,,[first].[last]@statsig.com; [f][last]@statsig.com; [first]@statsig.com; [first][last]@statsig.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Statsig%22,https://linkedin.com/company/statsig,,https://x.com/statsig,https://facebook.com/statsig,https://instagram.com/statsig_hq/,,,https://www.google.com/search?q=Statsig+%22CTO%22+site%3Alinkedin.com%2Fin
641,Coursera,Education / EdTech,Online Learning,Mountain View,CA,1500,$500M-$1B,Student engagement AI,$15K-$30K,Chief Technology Officer,www.coursera.org,4,NYSE listed; 183M learners,info@coursera.org,contact@coursera.org,(823) 425-3077,(366) 737-6763; (763) 752-3521,pattern,,,[first].[last]@coursera.org; [f][last]@coursera.org; [first]@coursera.org; [first][last]@coursera.org,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Coursera%22,https://www.linkedin.com/company/coursera,,https://twitter.com/coursera,https://www.facebook.com/Coursera,https://www.instagram.com/coursera/,,,https://www.google.com/search?q=Coursera+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
642,Duolingo,Education / EdTech,Language Learning,Pittsburgh,PA,900,$500M-$1B,Enrollment optimization AI,$15K-$30K,CTO,www.duolingo.com,4,NASDAQ listed; 120M+ MAU,info@duolingo.com,contact@duolingo.com,(234) 536-4366,(144) 050-2568,pattern,,,[first].[last]@duolingo.com; [f][last]@duolingo.com; [first]@duolingo.com; [first][last]@duolingo.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Duolingo%22,,,,,,,,https://www.google.com/search?q=Duolingo+%22CTO%22+site%3Alinkedin.com%2Fin
643,Instructure (Canvas),Education / EdTech,LMS,Salt Lake City,UT,2000,$500M-$1B,Grading automation AI,$15K-$30K,Chief Product Officer,www.instructure.com,4,3000+ institutions; Canvas LMS,info@instructure.com,,(801) 869-5000,(761) 119-5458; (432) 115-1697,pattern,,,[first].[last]@instructure.com; [f][last]@instructure.com; [first]@instructure.com; [first][last]@instructure.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Product+Officer%22+%22Instructure+%28Canvas%29%22,https://www.linkedin.com/company/instructure/,https://www.linkedin.com/in/steve-daly-a81894/; https://www.linkedin.com/in/vijiasingam; https://www.linkedin.com/in/melissaloble/,https://x.com/Instructure,https://www.facebook.com/Instructure/,https://www.instagram.com/instructure/,https://www.youtube.com/@CanvasLMS,,https://www.google.com/search?q=Instructure+%28Canvas%29+%22Chief+Product+Officer%22+site%3Alinkedin.com%2Fin
644,Khan Academy,Education / EdTech,Online Learning,Mountain View,CA,300,$50M-$100M,Student engagement AI,$8K-$15K,CTO,www.khanacademy.org,3,Free education; Khanmigo AI,info@khanacademy.org,contact@khanacademy.org,,,pattern,,,[first].[last]@khanacademy.org; [f][last]@khanacademy.org; [first]@khanacademy.org; [first][last]@khanacademy.org,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Khan+Academy%22,,,,,,,,https://www.google.com/search?q=Khan+Academy+%22CTO%22+site%3Alinkedin.com%2Fin
645,Chegg,Education / EdTech,Study Help,Santa Clara,CA,1500,$500M-$1B,AI tutoring,$10K-$25K,Chief Technology Officer,www.chegg.com,4,NYSE listed; student support,info@chegg.com,contact@chegg.com,,,pattern,,,[first].[last]@chegg.com; [f][last]@chegg.com; [first]@chegg.com; [first][last]@chegg.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Chegg%22,,,,,,,,https://www.google.com/search?q=Chegg+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
646,Outschool,Education / EdTech,K-12 Online,San Francisco,CA,300,$50M-$100M,Scheduling AI,$5K-$15K,CTO,www.outschool.com,3,Ages 3-18; live online classes,info@outschool.com,contact@outschool.com,(220) 106-5313,(879) 112-0746; (329) 136-4602,pattern,,,[first].[last]@outschool.com; [f][last]@outschool.com; [first]@outschool.com; [first][last]@outschool.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Outschool%22,,,,,,,,https://www.google.com/search?q=Outschool+%22CTO%22+site%3Alinkedin.com%2Fin
647,Teachers Pay Teachers,Education / EdTech,Marketplace,New York,NY,200,$25M-$50M,Content recommendation AI,$5K-$15K,VP of Product,www.teacherspayteachers.com,3,Teacher marketplace,info@teacherspayteachers.com,contact@teacherspayteachers.com,(348) 235-3626,(685) 427-1657; (175) 655-1134,pattern,,,[first].[last]@teacherspayteachers.com; [f][last]@teacherspayteachers.com; [first]@teacherspayteachers.com; [first][last]@teacherspayteachers.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Product%22+%22Teachers+Pay+Teachers%22,,,https://x.com/TpT_Official,https://www.facebook.com/TeachersPayTeachers,https://www.instagram.com/teacherspayteachers,,,https://www.google.com/search?q=Teachers+Pay+Teachers+%22VP+of+Product%22+site%3Alinkedin.com%2Fin
648,DreamBox Learning,Education / EdTech,K-12 Math,Bellevue,WA,300,$50M-$100M,Adaptive learning AI,$8K-$15K,Chief Technology Officer,www.dreambox.com,3,AI math learning platform,info@dreambox.com,contact@dreambox.com,(177) 202-8539,(177) 202-8542; (202) 602-2514,pattern,,,[first].[last]@dreambox.com; [f][last]@dreambox.com; [first]@dreambox.com; [first][last]@dreambox.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22DreamBox+Learning%22,https://www.linkedin.com/company/discoveryed,,https://x.com/wp,https://www.facebook.com/discoveryed/,,,,https://www.google.com/search?q=DreamBox+Learning+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
649,Newsela,Education / EdTech,K-12 Content,New York,NY,500,$50M-$100M,Content personalization AI,$8K-$20K,CTO,www.newsela.com,3,Adaptive reading platform,support@newsela.com,,(664) 399-8773,(805) 952-1302; (735) 849-0566,scraped,,,[first].[last]@newsela.com; [f][last]@newsela.com; [first]@newsela.com; [first][last]@newsela.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Newsela%22,https://www.linkedin.com/company/newsela,,https://x.com/newsela,https://www.facebook.com/Newsela/,https://www.instagram.com/newsela,,,https://www.google.com/search?q=Newsela+%22CTO%22+site%3Alinkedin.com%2Fin
650,Blackboard (Anthology),Education / EdTech,LMS,Boca Raton,FL,4000,$500M-$1B,Student engagement AI,$15K-$30K,Chief Technology Officer,www.anthology.com,4,Higher ed technology suite,info@anthology.com,contact@anthology.com,,,pattern,,,[first].[last]@anthology.com; [f][last]@anthology.com; [first]@anthology.com; [first][last]@anthology.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Blackboard+%28Anthology%29%22,https://www.linkedin.com/company/anthologyinc/,,https://x.com/AnthologyInc,https://www.facebook.com/TheAnthologyInc/,https://www.instagram.com/anthology_inc/,,,https://www.google.com/search?q=Blackboard+%28Anthology%29+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
651,PowerSchool,Education / EdTech,K-12 SIS,Folsom,CA,3000,$500M-$1B,Enrollment AI,$10K-$25K,CTO,www.powerschool.com,4,K-12 education technology,info@powerschool.com,contact@powerschool.com,(281) 772-4038,(382) 000-6101; (930) 310-2521,pattern,,,[first].[last]@powerschool.com; [f][last]@powerschool.com; [first]@powerschool.com; [first][last]@powerschool.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22PowerSchool%22,,,,,,,,https://www.google.com/search?q=PowerSchool+%22CTO%22+site%3Alinkedin.com%2Fin
652,Cengage Group,Education / EdTech,Higher Ed Content,Boston,MA,5000,$1B+,Content generation AI,$15K-$30K,Chief Technology Officer,www.cengage.com,4,Digital learning resources,info@cengage.com,contact@cengage.com,(772) 015-1922,(839) 241-1042; (800) 354-9706,pattern,,,[first].[last]@cengage.com; [f][last]@cengage.com; [first]@cengage.com; [first][last]@cengage.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Cengage+Group%22,http://www.linkedin.com/company/cengage-learning,,,https://www.facebook.com/CengageHigherEd/,https://instagram.com/cengagelearning,https://www.youtube.com/channel/UCWxmh1-ctuKJ61EFj898HKw,,https://www.google.com/search?q=Cengage+Group+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
653,McGraw Hill,Education / EdTech,Educational Content,New York,NY,4000,$1B+,Adaptive learning AI,$15K-$30K,CTO,www.mheducation.com,4,ALEKS AI platform,onlinecustomer_service@mheducation.com,,(180) 089-0072,(664) 542-7003; (112) 938-5377,scraped,,,[first].[last]@mheducation.com; [f][last]@mheducation.com; [first]@mheducation.com; [first][last]@mheducation.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22McGraw+Hill%22,https://www.linkedin.com/company/mcgraw-hill-education,,https://www.twitter.com/MHEducation,https://www.facebook.com/McGrawHillEducation,https://www.instagram.com/mheducation/,,,https://www.google.com/search?q=McGraw+Hill+%22CTO%22+site%3Alinkedin.com%2Fin
654,Pearson,Education / EdTech,Educational Content,Hoboken,NJ,20000,$5B+,Student engagement AI,$25K-$50K,Chief Technology Officer,www.pearson.com,5,NYSE listed; global education,info@pearson.com,contact@pearson.com,(204) 797-8946,(750) 485-8676; (581) 521-3226,pattern,,,[first].[last]@pearson.com; [f][last]@pearson.com; [first]@pearson.com; [first][last]@pearson.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Pearson%22,https://www.linkedin.com/company/pearson,,https://x.com/pearson,https://www.facebook.com/pearsonplc,https://www.instagram.com/pearsonofficial/,https://www.youtube.com/@Pearson,,https://www.google.com/search?q=Pearson+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
655,2U / edX,Education / EdTech,Online Degree,Lanham,MD,3000,$500M-$1B,Enrollment optimization AI,$10K-$25K,CTO,www.2u.com,4,University partnerships,media@2u.com,,(404) 317-5117,(029) 850-7462; (016) 417-9104,scraped,,,[first].[last]@2u.com; [f][last]@2u.com; [first]@2u.com; [first][last]@2u.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%222U+%2F+edX%22,https://www.linkedin.com/company/2u,,https://twitter.com/2Uinc,https://www.facebook.com/2u,https://www.instagram.com/2uinc/,https://www.youtube.com/channel/UCmbq-RiyFt5NynDsAM7Z7_g/,,https://www.google.com/search?q=2U+%2F+edX+%22CTO%22+site%3Alinkedin.com%2Fin
656,Clever,Education / EdTech,K-12 Platform,San Francisco,CA,200,$25M-$50M,Student data AI,$5K-$15K,Chief Technology Officer,www.clever.com,3,SSO for schools; 100K+ schools,legal@clever.com,,(174) 779-9334,(174) 779-9336; (760) 365-9363,scraped,,,[first].[last]@clever.com; [f][last]@clever.com; [first]@clever.com; [first][last]@clever.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Clever%22,https://www.linkedin.com/company/clever-inc-/,https://www.linkedin.com/in/phillip-j-mikula/; https://www.linkedin.com/in/erickrugler/; https://www.linkedin.com/in/kate-schaff/,https://twitter.com/clever,https://www.facebook.com/clever,,https://www.youtube.com/channel/UC6NvqnTmiw10Uvfm9vrYQ0w,,https://www.google.com/search?q=Clever+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
657,Schoology (PowerSchool),Education / EdTech,LMS,New York,NY,500,$50M-$100M,Grading automation AI,$8K-$15K,VP of Product,www.schoology.com,3,K-12 LMS platform,info@schoology.com,contact@schoology.com,,,pattern,,,[first].[last]@schoology.com; [f][last]@schoology.com; [first]@schoology.com; [first][last]@schoology.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Product%22+%22Schoology+%28PowerSchool%29%22,,,,,,,,https://www.google.com/search?q=Schoology+%28PowerSchool%29+%22VP+of+Product%22+site%3Alinkedin.com%2Fin
658,Remind,Education / EdTech,Communication,San Francisco,CA,200,$25M-$50M,Parent engagement AI,$5K-$12K,CTO,www.remind.com,2,School communication app,yuriy@regattamarketing.com,,(500) 926-7942,(048) 507-1913,scraped,,,[first].[last]@remind.com; [f][last]@remind.com; [first]@remind.com; [first][last]@remind.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Remind%22,,,https://twitter.com/remindhq,https://www.facebook.com/RemindHQ/,https://www.instagram.com/remindhq/,https://www.youtube.com/c/RemindHQ,,https://www.google.com/search?q=Remind+%22CTO%22+site%3Alinkedin.com%2Fin
659,ClassDojo,Education / EdTech,Communication,San Francisco,CA,100,$25M-$50M,Student engagement AI,$5K-$12K,Chief Technology Officer,www.classdojo.com,2,K-8 communication platform,security@classdojo.com,,(972) 284-3762,(716) 345-5637; (867) 903-3926,scraped,,,[first].[last]@classdojo.com; [f][last]@classdojo.com; [first]@classdojo.com; [first][last]@classdojo.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22ClassDojo%22,https://www.linkedin.com/company/classdojo,,https://twitter.com/classdojo,https://www.facebook.com/classdojo,https://www.instagram.com/classdojo,,,https://www.google.com/search?q=ClassDojo+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
660,Brightspace (D2L),Education / EdTech,LMS,Kitchener,ON,1000,$200M-$500M,Grading automation AI,$10K-$20K,CTO,www.d2l.com,3,Higher ed + K-12 LMS,info@d2l.com,contact@d2l.com,(157) 152-6139,(102) 453-9775; (101) 216-1522,pattern,,,[first].[last]@d2l.com; [f][last]@d2l.com; [first]@d2l.com; [first][last]@d2l.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Brightspace+%28D2L%29%22,https://www.linkedin.com/company/d2l/,,https://x.com/D2L,https://www.facebook.com/D2Linc,https://www.instagram.com/d2l/,,,https://www.google.com/search?q=Brightspace+%28D2L%29+%22CTO%22+site%3Alinkedin.com%2Fin
